Nombre de la Estación,Tipo de Instalación,Latitude,Longitude,Barrio
GGMC Parking - 550 W 25th - Tesla Destination,PAY_GARAGE,40.749666,-74.005485,Manhattan
iPark Eleventh Avenue Garage Corp. - Tesla Destination,PAY_GARAGE,40.752693,-74.002954,Manhattan
Icon Parking 560 Third Ave - Tesla Destination,HOTEL,40.748094,-73.976864,Manhattan
Rapidpark 575 1st Avenue - Tesla Destination,PAY_GARAGE,40.742761,-73.974554,Manhattan
Parkit 575 Washington - Tesla Destination,PAY_GARAGE,40.729474,-74.008847,Manhattan
Standard Parking 58 W 58th Street - Tesla Destination,PAY_GARAGE,40.764459,-73.976349,Manhattan
iPark 59-63 Allen Street - Tesla Destination,PAY_GARAGE,40.717124,-73.99201,Brooklyn
Champion Parking 90 LLC - Tesla Destination,PAY_GARAGE,40.783085,-73.956304,Manhattan
Champion Parking 60 East End Avenue - Tesla Destination,PAY_GARAGE,40.772794,-73.946969,Manhattan
RapidPark 600 Columbus Ave - Tesla Destination,PAY_GARAGE,40.788716,-73.970934,Manhattan
Quik Park 600 West 42nd Street (Silver Towers) LLC - Tesla Destination,PAY_GARAGE,40.760809,-73.998773,Manhattan
"MTP Parking, The Helena - Tesla Destination",PAY_GARAGE,40.770771,-73.991789,Manhattan
Champion Parking 60 E 8th - Tesla Destination,PAY_GARAGE,40.730501,-73.993075,Manhattan
iPark NYC 61 Jane Street - Tesla Destination,PAY_GARAGE,40.738222,-74.005908,Manhattan
Parkit 10 Wooster St. - Tesla Destination,PAY_GARAGE,40.721131,-74.00357,Brooklyn
imPark 611 E 83rd Street - Tesla Destination,PAY_GARAGE,40.772931,-73.945552,Manhattan
MTP 625 W 57th Street - Tesla Destination,PAY_GARAGE,40.771431,-73.992964,Manhattan
Icon Parking University 10 Parking - Tesla Destination,PAY_GARAGE,40.731544,-73.992045,Manhattan
Parkright 670 W 43rd Street - Tesla Destination,HOTEL,40.762316,-74.000256,Manhattan
Quik Park Little West LLC - Tesla Destination,PAY_GARAGE,40.706976,-74.016962,Brooklyn
Rapidpark 70 Riverside Dr - Tesla Destination,PAY_GARAGE,40.785014,-73.982037,Manhattan
The Peninsula Hotel New York - Tesla Destination,HOTEL,40.76178,-73.975057,Manhattan
Parkright 738 Greenwich Street - Tesla Destination,PAY_GARAGE,40.735165,-74.007231,Manhattan
iPark 650 Parking Corp - Tesla Destination,PAY_GARAGE,40.767935,-73.96671,Manhattan
Icon Parking 70 Gold Street - Tesla Destination,PAY_GARAGE,40.709609,-74.004401,Brooklyn
Icon 80 Riverside Blvd - Tesla Destination,PAY_GARAGE,40.775054,-73.989946,Manhattan
Quik Park 808 Garage LLC - Tesla Destination,PAY_GARAGE,40.795214,-73.966003,Manhattan
"The Standard, High Line - Tesla Destination",HOTEL,40.740828,-74.008074,Manhattan
Chelnik Parking NYC 880 5th - Tesla Destination,PAY_GARAGE,40.770385,-73.968296,Manhattan
Icon 9-11 Park Ave - Tesla Destination,PAY_GARAGE,40.747207,-73.980743,Manhattan
Rapidpark 9-11 W 100th Street - Tesla Destination,PAY_GARAGE,40.794681,-73.963228,Manhattan
Quik Park West 57 LLC - Tesla Destination,PAY_GARAGE,40.763888,-73.97499,Manhattan
GGMC Parking Stewart House Garage - Tesla Destination,PAY_GARAGE,40.73099,-73.990963,Manhattan
Rapidpark 920 Park Avenue - Tesla Destination,PAY_GARAGE,40.776673,-73.960253,Manhattan
MPG 923 5th Ave - Tesla Destination,PAY_GARAGE,40.773173,-73.966026,Manhattan
GGMC The Cove - Tesla Destination,PAY_GARAGE,40.707624,-74.016593,Brooklyn
Icon Parking 990 Ave of the Americas - Tesla Destination,OFFICE_BLDG,40.751363,-73.986389,Manhattan
59 Allen Street - Tesla Supercharger,PARKING_LOT,40.717153,-73.991869,Brooklyn
iPark NYC 75 Wall Street - Tesla Destination,No data,40.705042,-74.008118,Brooklyn
New York University - Plaza Nursery School,COLLEGE_CAMPUS,40.7273617,-73.9975331999999,Manhattan
Company,OFFICE_BLDG,40.7537571,-73.9783437999999,Manhattan
Jerome-Gun Hill Road - Municipal Parking Garage,PARKING_GARAGE,40.882958,-73.880725,Bronx
Yeshiva University,COLLEGE_CAMPUS,40.8506642,-73.9306379,Bronx
The Veneto,No data,40.756766,-73.967481,Manhattan
Coliseum Park Apts - Central Parking,No data,40.768432,-73.984033,Manhattan
Astor Place,No data,40.7297,-73.991565,Manhattan
Central Parking - 58 West 58th St,No data,40.764655,-73.9761,Manhattan
Superior Ink,No data,40.737537,-74.00983,Manhattan
The Westport,No data,40.768211,-73.989479,Manhattan
TATABROOKFIELD #3,No data,40.755093,-73.955605,Manhattan
