cant_registros,costo_total,costo_promedio,duracion_promedio,distancia_promedio,dia,barrio_abordaje,barrio_destino,codigo_postal_abordaje,codigo_postal_destino
9238,364668.8400000001,39.47486901926825,25.877570902792808,6.821270837843686,2024-02-01,Brooklyn,Manhattan,11228,10037
30,1834.08,61.136,29.266666666666666,14.557333333333332,2022-01-01,Staten Island,Brooklyn,10312,11209
12,850.25,70.85416666666667,34.25,4.873333333333333,2022-05-01,Staten Island,Queens,10309,11105
359,18032.27,50.22916434540389,29.50974930362117,8.94649025069638,2022-01-01,Bronx,Queens,10473,11378
1504,53160.73,35.34623005319148,28.269281914893615,5.9013829787234044,2022-12-01,Bronx,Manhattan,10464,10011
100,5637.660000000003,56.376600000000025,29.41,12.6864,2022-12-01,Brooklyn,Staten Island,11256,10303
384,24525.00999999998,63.867213541666615,32.2578125,13.321119791666671,2023-07-01,Bronx,Brooklyn,10452,11222
109,3413.5600000000013,31.317064220183497,1.9174311926605505,0.338348623853211,2023-04-01,Staten Island,Staten Island,10310,10302
2896727,63888381.65000019,22.05536857632776,13.15494590964216,1.8715079950578688,2023-10-01,Manhattan,Manhattan,10270,10044
413,25395.759999999984,61.49094430992732,34.71186440677966,11.682615012106542,2022-02-01,Bronx,Brooklyn,10464,11210
2590,63023.12000000001,24.33325096525097,15.292277992277992,2.4991660231660227,2024-01-01,Bronx,Bronx,10461,10456
12954,406451.51999999984,31.376526169522915,24.349621738459163,5.546751582522773,2022-04-01,Brooklyn,Manhattan,11228,10036
437,27320.739999999994,62.51885583524026,32.7116704805492,10.334691075514872,2022-04-01,Bronx,Brooklyn,10472,11204
